Run at: 2025-11-26 22:09:46 UTC
MMIO path: sw_hw/mmio_region.bin

[SW] Deterministic test
push OK 0xa5a5a5a5
push OK 0xdeadbeef
push OK 0x01234567
push OK 0x89abcdef
pop OK 0xdeadbeef
pop OK 0x01234567
[SW] Randomized test
MISMATCH: popped but SW empty
MISMATCH: popped but SW empty
MISMATCH: expected 0x2308db55 got 0x00000000
MISMATCH: expected 0x02f60da3 got 0x0341b485
MISMATCH: expected 0x0341b485 got 0x6b5029af
MISMATCH: expected 0x6b5029af got 0x3c2d4cd7
MISMATCH: expected 0x3c2d4cd7 got 0x328726c8
MISMATCH: expected 0x328726c8 got 0x6341da11
MISMATCH: expected 0x6341da11 got 0x5c5c1ebd
MISMATCH: expected 0x5c5c1ebd got 0x731d414b
MISMATCH: expected 0x731d414b got 0x41f388eb
MISMATCH: expected 0x41f388eb got 0x2d43b29a
MISMATCH: expected 0x2d43b29a got 0x08d3bf02
MISMATCH: expected 0x08d3bf02 got 0x2a01d698
MISMATCH: expected 0x2a01d698 got 0x0d1c5152
MISMATCH: expected 0x0d1c5152 got 0x69787010
MISMATCH: expected 0x69787010 got 0x5c95b15b
MISMATCH: expected 0x5c95b15b got 0x5eb40471
MISMATCH: expected 0x5eb40471 got 0x3d64b098
MISMATCH: expected 0x3d64b098 got 0x048e42eb
MISMATCH: expected 0x048e42eb got 0x25c4d700
MISMATCH: expected 0x25c4d700 got 0x17d9b99e
MISMATCH: expected 0x17d9b99e got 0x24f60af0
MISMATCH: expected 0x24f60af0 got 0x0f3b4309
MISMATCH: expected 0x0f3b4309 got 0x1df98444
MISMATCH: expected 0x1df98444 got 0x7940c3bd
MISMATCH: expected 0x7940c3bd got 0x7b0092c5
MISMATCH: expected 0x7b0092c5 got 0x5868b180
MISMATCH: expected 0x5868b180 got 0x0e088c7a
MISMATCH: expected 0x0e088c7a got 0x09cb8ce3
MISMATCH: expected 0x09cb8ce3 got 0x716b01bb
MISMATCH: expected 0x716b01bb got 0x0cea6b42
MISMATCH: expected 0x0cea6b42 got 0x299b02ed
MISMATCH: expected 0x299b02ed got 0x47948732
