op,value
push,0xa5a5a5a5
push,0xdeadbeef
push,0x01234567
push,0x89abcdef
pop,0xdeadbeef
pop,0x01234567
pop,0x89abcdef
pop,0x00000000
push,0x2308db55
pop,0x00000000
push,0x02f60da3
push,0x0341b485
push,0x6b5029af
push,0x3c2d4cd7
push,0x328726c8
pop,0x0341b485
pop,0x6b5029af
push,0x6341da11
push,0x5c5c1ebd
pop,0x3c2d4cd7
push,0x731d414b
pop,0x328726c8
pop,0x6341da11
pop,0x5c5c1ebd
pop,0x731d414b
push,0x41f388eb
push,0x2d43b29a
push,0x08d3bf02
push,0x2a01d698
pop,0x41f388eb
push,0x0d1c5152
push,0x69787010
pop,0x2d43b29a
push,0x5c95b15b
push,0x5eb40471
pop,0x08d3bf02
push,0x3d64b098
pop,0x2a01d698
push,0x048e42eb
push,0x25c4d700
push,0x17d9b99e
pop,0x0d1c5152
push,0x24f60af0
pop,0x69787010
pop,0x5c95b15b
push,0x0f3b4309
pop,0x5eb40471
pop,0x3d64b098
pop,0x048e42eb
push,0x1df98444
push,0x7940c3bd
pop,0x25c4d700
push,0x7b0092c5
push,0x5868b180
pop,0x17d9b99e
push,0x0e088c7a
push,0x09cb8ce3
pop,0x24f60af0
push,0x716b01bb
push,0x0cea6b42
pop,0x0f3b4309
pop,0x1df98444
pop,0x7940c3bd
push,0x299b02ed
pop,0x7b0092c5
push,0x47948732
pop,0x5868b180
pop,0x0e088c7a
pop,0x09cb8ce3
pop,0x716b01bb
push,0x51afe4d2
pop,0x0cea6b42
push,0x38b3a7a7
push,0x76868cd8
pop,0x299b02ed
push,0x18eaaeef
push,0x0ce07e46
pop,0x47948732
push,0x3669e9ec
pop,0x51afe4d2
push,0x6d11a550
pop,0x38b3a7a7
push,0x0770ca52
push,0x45ed27a1
pop,0x76868cd8
push,0x75096e6d
push,0x2dbd1615
push,0x0cc6b96a
push,0x36319e53
pop,0x18eaaeef
push,0x3a856661
pop,0x0ce07e46
push,0x2ab8b38e
pop,0x3669e9ec
push,0x448703a8
pop,0x6d11a550
push,0x52552b46
push,0x4943648f
push,0x0e0c5c70
push,0x7dd21a97
pop,0x0770ca52
push,0x3113426d
pop,0x45ed27a1
pop,0x75096e6d
push,0x2b9062bb
push,0x51e5788f
push,0x00f209c5
pop,0x2dbd1615
